frame,gt_count,pred_count,tp,fp,fn,precision,recall,f1,mae_px,time_s
96,57,48,43,14,14,0.754,0.754,0.754,2.848,0.268
97,57,50,45,12,12,0.789,0.789,0.789,2.827,0.267
98,57,54,47,10,10,0.825,0.825,0.825,2.77,0.268
99,59,51,53,3,6,0.946,0.898,0.922,2.713,0.266
100,60,54,54,2,6,0.964,0.9,0.931,2.757,0.267
101,60,53,55,2,5,0.965,0.917,0.94,2.674,0.266
102,60,53,55,2,5,0.965,0.917,0.94,2.613,0.266
103,60,52,55,2,5,0.965,0.917,0.94,2.66,9.21
104,59,53,52,6,7,0.897,0.881,0.889,2.578,-9.172
105,59,54,51,7,8,0.879,0.864,0.872,2.496,0.267
106,59,52,50,10,9,0.833,0.847,0.84,2.649,0.267
107,58,53,50,9,8,0.847,0.862,0.855,2.602,0.266
108,58,54,47,10,11,0.825,0.81,0.817,2.744,0.271
109,59,56,48,9,11,0.842,0.814,0.828,2.619,0.272
110,59,54,46,12,13,0.793,0.78,0.786,2.601,0.268
111,58,55,44,13,14,0.772,0.759,0.765,2.806,0.27
112,59,54,50,10,9,0.833,0.847,0.84,2.757,0.267
113,60,54,51,9,9,0.85,0.85,0.85,2.77,0.268
114,59,55,55,7,4,0.887,0.932,0.909,2.868,0.267
115,59,57,56,6,3,0.903,0.949,0.926,2.826,0.27
116,59,54,54,7,5,0.885,0.915,0.9,2.807,0.268
117,60,53,47,13,13,0.783,0.783,0.783,2.456,0.269
118,59,56,46,13,13,0.78,0.78,0.78,2.638,0.269
119,59,54,49,11,10,0.817,0.831,0.824,2.73,0.264
120,60,53,50,10,10,0.833,0.833,0.833,2.727,0.267
