frame,gt_count,pred_count,tp,fp,fn,precision,recall,f1,mae_px,time_s
1,52,44,41,3,11,0.932,0.788,0.854,3.055,5.923
2,52,44,41,2,11,0.953,0.788,0.863,2.946,0.0
3,51,46,41,2,10,0.953,0.804,0.872,2.806,0.199
4,51,46,41,6,10,0.872,0.804,0.837,2.829,0.0
5,51,47,41,7,10,0.854,0.804,0.828,3.246,0.197
6,51,44,39,10,12,0.796,0.765,0.78,3.09,0.0
7,50,44,37,12,13,0.755,0.74,0.747,2.921,0.196
8,50,44,35,14,15,0.714,0.7,0.707,3.138,0.0
9,50,45,36,13,14,0.735,0.72,0.727,3.37,0.199
10,50,45,35,15,15,0.7,0.7,0.7,3.42,0.0
11,50,46,37,15,13,0.712,0.74,0.725,3.219,0.196
12,51,46,35,17,16,0.673,0.686,0.68,3.362,0.0
13,51,47,36,16,15,0.692,0.706,0.699,3.53,0.199
14,51,46,40,13,11,0.755,0.784,0.769,3.392,0.0
15,51,46,40,14,11,0.741,0.784,0.762,3.458,0.199
16,51,44,41,14,10,0.745,0.804,0.774,3.841,0.0
17,51,45,41,14,10,0.745,0.804,0.774,3.895,0.205
18,51,44,39,16,12,0.709,0.765,0.736,3.809,0.0
19,51,46,39,16,12,0.709,0.765,0.736,3.512,0.211
20,51,44,40,15,11,0.727,0.784,0.755,3.468,0.0
21,51,46,40,15,11,0.727,0.784,0.755,3.658,0.205
22,51,46,48,9,3,0.842,0.941,0.889,3.812,0.0
23,51,47,48,9,3,0.842,0.941,0.889,3.813,0.206
24,51,46,47,10,4,0.825,0.922,0.87,3.586,0.0
25,50,47,46,11,4,0.807,0.92,0.86,3.639,0.203
26,50,46,44,14,6,0.759,0.88,0.815,3.621,0.0
27,53,46,44,14,9,0.759,0.83,0.793,3.68,0.205
28,53,46,45,14,8,0.763,0.849,0.804,3.474,0.0
29,53,50,46,13,7,0.78,0.868,0.821,3.621,0.206
30,53,50,44,15,9,0.746,0.83,0.786,3.419,0.0
31,52,50,43,17,9,0.717,0.827,0.768,3.483,0.205
32,52,46,43,17,9,0.717,0.827,0.768,3.352,0.0
33,52,47,46,14,6,0.767,0.885,0.821,3.651,0.206
34,52,47,46,14,6,0.767,0.885,0.821,3.56,0.0
35,52,48,46,14,6,0.767,0.885,0.821,3.667,0.208
36,52,48,47,13,5,0.783,0.904,0.839,3.745,0.0
37,52,48,45,16,7,0.738,0.865,0.796,3.108,0.205
38,52,48,45,18,7,0.714,0.865,0.783,2.954,0.0
39,52,49,48,16,4,0.75,0.923,0.828,3.137,0.207
40,52,48,48,17,4,0.738,0.923,0.821,3.4,0.0
41,52,48,48,17,4,0.738,0.923,0.821,3.401,0.207
42,52,46,49,16,3,0.754,0.942,0.838,3.446,0.0
43,52,46,49,16,3,0.754,0.942,0.838,3.434,0.209
44,52,45,46,19,6,0.708,0.885,0.786,3.178,0.0
