frame,gt_count,pred_count,tp,fp,fn,precision,recall,f1,mae_px,time_s
89,58,49,51,28,7,0.646,0.879,0.745,3.933,0.0
90,58,49,50,29,8,0.633,0.862,0.73,3.909,0.0
91,58,53,53,27,5,0.662,0.914,0.768,3.776,0.207
92,57,51,52,29,5,0.642,0.912,0.754,3.706,0.0
93,57,51,51,30,6,0.63,0.895,0.739,3.493,0.0
94,57,51,53,28,4,0.654,0.93,0.768,3.481,0.208
95,57,49,52,29,5,0.642,0.912,0.754,3.481,0.0
96,57,49,52,29,5,0.642,0.912,0.754,3.37,0.0
97,57,50,52,29,5,0.642,0.912,0.754,3.265,0.205
98,57,49,52,29,5,0.642,0.912,0.754,3.15,0.0
99,59,49,52,29,7,0.642,0.881,0.743,3.274,0.0
100,60,54,53,29,7,0.646,0.883,0.746,3.297,0.209
101,60,52,53,30,7,0.639,0.883,0.741,3.113,0.0
102,60,52,54,29,6,0.651,0.9,0.755,3.182,0.0
103,60,52,54,29,6,0.651,0.9,0.755,3.138,0.208
104,59,51,55,28,4,0.663,0.932,0.775,3.437,0.0
105,59,51,55,29,4,0.655,0.932,0.769,3.675,0.0
106,59,52,56,28,3,0.667,0.949,0.783,3.508,0.207
107,58,52,55,29,3,0.655,0.948,0.775,3.231,0.0
108,58,52,55,30,3,0.647,0.948,0.769,3.062,0.0
109,59,56,54,31,5,0.635,0.915,0.75,3.008,0.208
110,59,53,55,31,4,0.64,0.932,0.759,2.891,0.0
111,58,53,52,34,6,0.605,0.897,0.722,2.783,0.0
112,59,54,53,33,6,0.616,0.898,0.731,2.763,0.209
113,60,54,54,32,6,0.628,0.9,0.74,2.713,0.0
114,59,54,54,32,5,0.628,0.915,0.745,2.837,0.0
115,59,57,54,32,5,0.628,0.915,0.745,2.763,0.208
116,59,54,53,35,6,0.602,0.898,0.721,2.89,0.0
117,60,54,51,37,9,0.58,0.85,0.689,2.833,0.0
118,59,56,52,35,7,0.598,0.881,0.712,2.804,0.207
119,59,56,54,35,5,0.607,0.915,0.73,2.935,0.0
120,60,56,55,34,5,0.618,0.917,0.738,3.112,0.0
