frame,gt_count,pred_count,tp,fp,fn,precision,recall,f1,mae_px,time_s
1,52,44,41,3,11,0.932,0.788,0.854,3.056,5.731
2,52,47,41,3,11,0.932,0.788,0.854,2.902,0.199
3,51,46,41,5,10,0.891,0.804,0.845,2.676,0.201
4,51,43,42,4,9,0.913,0.824,0.866,2.858,0.198
5,51,47,40,8,11,0.833,0.784,0.808,2.768,0.202
6,51,49,42,7,9,0.857,0.824,0.84,3.059,0.212
7,50,44,37,13,13,0.74,0.74,0.74,2.771,0.214
8,50,44,37,13,13,0.74,0.74,0.74,2.746,0.213
9,50,45,39,12,11,0.765,0.78,0.772,2.981,0.211
10,50,45,40,11,10,0.784,0.8,0.792,3.054,0.206
11,50,46,40,11,10,0.784,0.8,0.792,3.033,0.207
12,51,47,37,14,14,0.725,0.725,0.725,3.001,0.208
13,51,47,40,12,11,0.769,0.784,0.777,3.02,0.211
14,51,45,40,12,11,0.769,0.784,0.777,2.918,0.21
15,51,46,41,11,10,0.788,0.804,0.796,3.215,0.209
16,51,45,40,12,11,0.769,0.784,0.777,3.083,0.209
17,51,45,43,9,8,0.827,0.843,0.835,3.19,0.209
18,51,47,42,10,9,0.808,0.824,0.816,3.296,0.213
19,51,46,42,10,9,0.808,0.824,0.816,3.177,0.217
20,51,46,42,10,9,0.808,0.824,0.816,3.169,0.209
21,51,46,43,9,8,0.827,0.843,0.835,3.053,0.209
22,51,46,44,8,7,0.846,0.863,0.854,3.189,0.208
23,51,47,47,6,4,0.887,0.922,0.904,2.842,0.214
24,51,48,47,6,4,0.887,0.922,0.904,2.786,0.216
25,50,47,47,6,3,0.887,0.94,0.913,2.923,0.211
26,50,48,47,6,3,0.887,0.94,0.913,2.828,0.209
27,53,46,50,4,3,0.926,0.943,0.935,2.964,0.21
28,53,47,51,4,2,0.927,0.962,0.944,3.19,0.209
29,53,50,50,5,3,0.909,0.943,0.926,3.09,0.212
30,53,50,51,5,2,0.911,0.962,0.936,3.141,0.212
31,52,50,48,9,4,0.842,0.923,0.881,3.466,0.209
32,52,50,48,9,4,0.842,0.923,0.881,3.422,0.212
33,52,47,48,9,4,0.842,0.923,0.881,3.322,0.212
34,52,49,48,9,4,0.842,0.923,0.881,3.126,0.212
35,52,48,48,9,4,0.842,0.923,0.881,3.129,0.211
36,52,49,48,10,4,0.828,0.923,0.873,3.22,0.21
37,52,48,49,9,3,0.845,0.942,0.891,3.044,0.211
38,52,50,50,9,2,0.847,0.962,0.901,3.356,0.211
39,52,49,49,10,3,0.831,0.942,0.883,3.34,0.209
40,52,50,49,10,3,0.831,0.942,0.883,3.167,0.213
41,52,48,50,9,2,0.847,0.962,0.901,3.22,0.212
42,52,46,50,9,2,0.847,0.962,0.901,3.106,0.212
43,52,46,50,9,2,0.847,0.962,0.901,3.118,0.21
44,52,48,50,9,2,0.847,0.962,0.901,3.11,0.211
45,52,46,49,10,3,0.831,0.942,0.883,2.96,0.213
46,52,50,49,10,3,0.831,0.942,0.883,2.815,0.214
47,52,49,49,11,3,0.817,0.942,0.875,2.733,0.211
48,52,48,49,11,3,0.817,0.942,0.875,2.656,0.21
49,52,46,50,10,2,0.833,0.962,0.893,2.52,0.211
50,52,47,50,10,2,0.833,0.962,0.893,2.531,0.213
51,52,48,50,10,2,0.833,0.962,0.893,2.47,0.215
52,52,50,50,10,2,0.833,0.962,0.893,2.582,0.212
53,53,48,49,11,4,0.817,0.925,0.867,2.632,0.211
54,55,46,40,19,15,0.678,0.727,0.702,2.755,0.213
55,55,49,50,11,5,0.82,0.909,0.862,2.889,0.214
56,55,50,52,10,3,0.839,0.945,0.889,3.217,0.21
57,55,51,52,10,3,0.839,0.945,0.889,3.424,0.211
58,56,49,52,11,4,0.825,0.929,0.874,3.372,0.211
59,56,48,52,11,4,0.825,0.929,0.874,3.44,0.212
60,56,50,51,12,5,0.81,0.911,0.857,3.184,0.213
61,56,50,54,11,2,0.831,0.964,0.893,3.116,0.212
62,56,50,54,11,2,0.831,0.964,0.893,3.011,0.214
63,56,51,54,11,2,0.831,0.964,0.893,2.912,0.213
64,57,52,54,11,3,0.831,0.947,0.885,2.763,0.211
65,57,51,54,11,3,0.831,0.947,0.885,2.787,0.21
66,57,53,55,12,2,0.821,0.965,0.887,2.749,0.211
67,57,52,54,13,3,0.806,0.947,0.871,2.98,0.211
68,58,52,54,13,4,0.806,0.931,0.864,3.095,0.213
69,58,48,53,14,5,0.791,0.914,0.848,3.088,0.213
70,58,46,54,13,4,0.806,0.931,0.864,3.343,0.213
71,58,51,56,12,2,0.824,0.966,0.889,3.481,0.214
72,58,55,56,13,2,0.812,0.966,0.882,3.511,0.215
73,58,58,55,15,3,0.786,0.948,0.859,3.475,0.214
74,59,54,56,14,3,0.8,0.949,0.868,3.818,0.223
75,59,55,57,13,2,0.814,0.966,0.884,3.976,0.223
76,59,57,57,13,2,0.814,0.966,0.884,3.963,0.222
77,59,55,57,13,2,0.814,0.966,0.884,3.926,0.221
78,59,51,56,14,3,0.8,0.949,0.868,3.716,0.222
79,59,50,56,14,3,0.8,0.949,0.868,3.603,0.224
80,59,49,56,13,3,0.812,0.949,0.875,3.57,0.225
81,59,49,57,12,2,0.826,0.966,0.891,3.634,0.227
82,59,50,57,12,2,0.826,0.966,0.891,3.643,0.223
83,59,51,57,12,2,0.826,0.966,0.891,3.424,0.222
84,59,51,57,12,2,0.826,0.966,0.891,3.427,0.223
85,59,50,56,13,3,0.812,0.949,0.875,3.345,0.221
86,59,53,56,12,3,0.824,0.949,0.882,3.344,0.222
87,58,53,55,13,3,0.809,0.948,0.873,3.35,0.237
88,58,51,56,12,2,0.824,0.966,0.889,3.351,0.255
89,58,54,55,14,3,0.797,0.948,0.866,3.159,0.255
90,58,54,56,14,2,0.8,0.966,0.875,3.039,0.228
91,58,53,55,15,3,0.786,0.948,0.859,3.044,0.225
92,57,51,55,15,2,0.786,0.965,0.866,3.206,0.26
93,57,49,55,15,2,0.786,0.965,0.866,3.16,0.263
94,57,51,55,15,2,0.786,0.965,0.866,3.226,0.229
95,57,49,55,15,2,0.786,0.965,0.866,3.142,0.228
96,57,48,56,15,1,0.789,0.982,0.875,3.037,0.229
97,57,50,56,15,1,0.789,0.982,0.875,2.984,0.229
98,57,54,56,14,1,0.8,0.982,0.882,2.886,0.248
99,59,51,55,15,4,0.786,0.932,0.853,2.856,0.264
100,60,54,56,15,4,0.789,0.933,0.855,2.774,0.235
101,60,53,56,15,4,0.789,0.933,0.855,2.749,0.23
102,60,53,56,15,4,0.789,0.933,0.855,2.741,0.258
103,60,52,56,15,4,0.789,0.933,0.855,2.801,0.266
104,59,53,56,15,3,0.789,0.949,0.862,2.586,0.265
105,59,54,57,14,2,0.803,0.966,0.877,2.599,0.265
106,59,52,56,15,3,0.789,0.949,0.862,2.577,0.23
107,58,53,55,16,3,0.775,0.948,0.853,2.52,0.228
108,58,54,56,15,2,0.789,0.966,0.868,2.606,0.262
109,59,56,55,16,4,0.775,0.932,0.846,2.679,0.267
110,59,54,55,16,4,0.775,0.932,0.846,2.75,0.266
111,58,55,54,17,4,0.761,0.931,0.837,2.8,0.273
112,59,54,54,17,5,0.761,0.915,0.831,2.984,0.267
113,60,54,53,18,7,0.746,0.883,0.809,3.002,0.265
114,59,55,53,18,6,0.746,0.898,0.815,2.937,0.267
115,59,57,53,19,6,0.736,0.898,0.809,2.823,0.265
116,59,54,53,19,6,0.736,0.898,0.809,2.723,0.266
117,60,53,51,21,9,0.708,0.85,0.773,2.656,0.266
118,59,56,50,22,9,0.694,0.847,0.763,2.622,0.264
119,59,54,53,20,6,0.726,0.898,0.803,2.755,0.269
120,60,53,54,19,6,0.74,0.9,0.812,2.712,0.266
