frame,gt_count,pred_count,tp,fp,fn,precision,recall,f1,mae_px,time_s
105,59,48,47,2,12,0.959,0.797,0.87,4.29,0.316
106,59,46,47,2,12,0.959,0.797,0.87,4.378,0.316
107,58,46,43,4,15,0.915,0.741,0.819,4.342,0.314
108,58,50,44,3,14,0.936,0.759,0.838,4.345,0.314
109,59,47,45,3,14,0.938,0.763,0.841,4.652,0.316
110,59,46,47,3,12,0.94,0.797,0.862,4.506,0.316
111,58,46,46,3,12,0.939,0.793,0.86,4.54,0.319
112,59,46,44,3,15,0.936,0.746,0.83,4.362,0.313
113,60,45,45,1,15,0.978,0.75,0.849,4.347,0.314
114,59,47,45,1,14,0.978,0.763,0.857,4.712,0.314
115,59,46,45,1,14,0.978,0.763,0.857,4.71,0.315
116,59,47,44,3,15,0.936,0.746,0.83,4.656,0.315
117,60,44,45,2,15,0.957,0.75,0.841,4.505,0.314
118,59,46,44,2,15,0.957,0.746,0.838,4.177,0.314
119,59,46,43,2,16,0.956,0.729,0.827,4.524,0.313
120,60,48,44,4,16,0.917,0.733,0.815,4.472,0.314
